"plot","coldate","taxa","count","location","block","treatment","year"
"H1M",2014-07-21,"clmb",2,"Heath",1,"Midges",2014
"H1C",2014-07-21,"clmb",2,"Heath",1,"Control",2014
"H1K",2014-07-21,"clmb",5,"Heath",1,"KNO3",2014
"H2M",2014-07-21,"clmb",3,"Heath",2,"Midges",2014
"H2C",2014-07-21,"clmb",1,"Heath",2,"Control",2014
"H2K",2014-07-21,"clmb",3,"Heath",2,"KNO3",2014
"H3M",2014-07-21,"clmb",10,"Heath",3,"Midges",2014
"H3C",2014-07-21,"clmb",10,"Heath",3,"Control",2014
"H3K",2014-07-21,"clmb",3,"Heath",3,"KNO3",2014
"H4M",2014-07-21,"clmb",5,"Heath",4,"Midges",2014
"H4C",2014-07-21,"clmb",0,"Heath",4,"Control",2014
"H4K",2014-07-21,"clmb",NA,"Heath",4,"KNO3",2014
"B1M",2014-07-21,"clmb",3,"Border",1,"Midges",2014
"B1C",2014-07-21,"clmb",1,"Border",1,"Control",2014
"B1K",2014-07-21,"clmb",11,"Border",1,"KNO3",2014
"B2M",2014-07-21,"clmb",12,"Border",2,"Midges",2014
"B2C",2014-07-21,"clmb",7,"Border",2,"Control",2014
"B2K",2014-07-21,"clmb",16,"Border",2,"KNO3",2014
"B3M",2014-07-21,"clmb",2,"Border",3,"Midges",2014
"B3C",2014-07-21,"clmb",1,"Border",3,"Control",2014
"B3K",2014-07-21,"clmb",1,"Border",3,"KNO3",2014
"B4M",2014-07-21,"clmb",1,"Border",4,"Midges",2014
"B4C",2014-07-21,"clmb",10,"Border",4,"Control",2014
"B4K",2014-07-21,"clmb",NA,"Border",4,"KNO3",2014
"L1",2014-07-21,"clmb",5,"Lupine",NA,"Lupine",2014
"L2",2014-07-21,"clmb",3,"Lupine",NA,"Lupine",2014
"L3",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L4",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L5",2014-07-21,"clmb",2,"Lupine",NA,"Lupine",2014
"L6",2014-07-21,"clmb",8,"Lupine",NA,"Lupine",2014
"L7",2014-07-21,"clmb",0,"Lupine",NA,"Lupine",2014
"L8",2014-07-21,"clmb",0,"Lupine",NA,"Lupine",2014
"H1M",2014-07-21,"acar",17,"Heath",1,"Midges",2014
"H1C",2014-07-21,"acar",1,"Heath",1,"Control",2014
"H1K",2014-07-21,"acar",9,"Heath",1,"KNO3",2014
"H2M",2014-07-21,"acar",18,"Heath",2,"Midges",2014
"H2C",2014-07-21,"acar",7,"Heath",2,"Control",2014
"H2K",2014-07-21,"acar",20,"Heath",2,"KNO3",2014
"H3M",2014-07-21,"acar",15,"Heath",3,"Midges",2014
"H3C",2014-07-21,"acar",15,"Heath",3,"Control",2014
"H3K",2014-07-21,"acar",5,"Heath",3,"KNO3",2014
"H4M",2014-07-21,"acar",16,"Heath",4,"Midges",2014
"H4C",2014-07-21,"acar",4,"Heath",4,"Control",2014
"H4K",2014-07-21,"acar",NA,"Heath",4,"KNO3",2014
"B1M",2014-07-21,"acar",22,"Border",1,"Midges",2014
"B1C",2014-07-21,"acar",29,"Border",1,"Control",2014
"B1K",2014-07-21,"acar",27,"Border",1,"KNO3",2014
"B2M",2014-07-21,"acar",21,"Border",2,"Midges",2014
"B2C",2014-07-21,"acar",11,"Border",2,"Control",2014
"B2K",2014-07-21,"acar",12,"Border",2,"KNO3",2014
"B3M",2014-07-21,"acar",20,"Border",3,"Midges",2014
"B3C",2014-07-21,"acar",24,"Border",3,"Control",2014
"B3K",2014-07-21,"acar",20,"Border",3,"KNO3",2014
"B4M",2014-07-21,"acar",4,"Border",4,"Midges",2014
"B4C",2014-07-21,"acar",3,"Border",4,"Control",2014
"B4K",2014-07-21,"acar",NA,"Border",4,"KNO3",2014
"L1",2014-07-21,"acar",10,"Lupine",NA,"Lupine",2014
"L2",2014-07-21,"acar",9,"Lupine",NA,"Lupine",2014
"L3",2014-07-21,"acar",54,"Lupine",NA,"Lupine",2014
"L4",2014-07-21,"acar",14,"Lupine",NA,"Lupine",2014
"L5",2014-07-21,"acar",7,"Lupine",NA,"Lupine",2014
"L6",2014-07-21,"acar",30,"Lupine",NA,"Lupine",2014
"L7",2014-07-21,"acar",3,"Lupine",NA,"Lupine",2014
"L8",2014-07-21,"acar",3,"Lupine",NA,"Lupine",2014
"H3C",2018-07-09,"clmb",0,"Heath",3,"Control",2018
"B2K",2018-07-09,"clmb",4,"Border",2,"KNO3",2018
"H4M",2018-07-09,"clmb",8,"Heath",4,"Midges",2018
"H4C",2018-07-09,"clmb",5,"Heath",4,"Control",2018
"H2C",2018-07-09,"clmb",7,"Heath",2,"Control",2018
"L4",2018-07-09,"clmb",5,"Lupine",NA,"Lupine",2018
"B3C",2018-07-09,"clmb",3,"Border",3,"Control",2018
"L1",2018-07-09,"clmb",4,"Lupine",NA,"Lupine",2018
"B4M",2018-07-09,"clmb",1,"Border",4,"Midges",2018
"L2",2018-07-09,"clmb",5,"Lupine",NA,"Lupine",2018
"B2CA",2018-07-09,"clmb",0,NA,NA,NA,2018
"B2CB",2018-07-09,"clmb",22,NA,NA,NA,2018
"H2M",2018-07-09,"clmb",14,"Heath",2,"Midges",2018
"B1MA",2018-07-09,"clmb",13,NA,NA,NA,2018
"B1MB",2018-07-09,"clmb",4,NA,NA,NA,2018
"B4K",2018-07-09,"clmb",4,"Border",4,"KNO3",2018
"B2M",2018-07-09,"clmb",4,"Border",2,"Midges",2018
"H2K",2018-07-09,"clmb",4,"Heath",2,"KNO3",2018
"B3M",2018-07-09,"clmb",5,"Border",3,"Midges",2018
"H1K",2018-07-09,"clmb",4,"Heath",1,"KNO3",2018
"H1C",2018-07-09,"clmb",1,"Heath",1,"Control",2018
"H3K",2018-07-09,"clmb",7,"Heath",3,"KNO3",2018
"L3",2018-07-09,"clmb",4,"Lupine",NA,"Lupine",2018
"H4K",2018-07-09,"clmb",10,"Heath",4,"KNO3",2018
"H1M",2018-07-09,"clmb",24,"Heath",1,"Midges",2018
"B1K",2018-07-09,"clmb",6,"Border",1,"KNO3",2018
"B1C",2018-07-09,"clmb",2,"Border",1,"Control",2018
"B3K",2018-07-09,"clmb",NA,"Border",3,"KNO3",2018
"H3M",2018-07-09,"clmb",16,"Heath",3,"Midges",2018
"B1M",2018-08-03,"clmb",67,"Border",1,"Midges",2018
"B4M",2018-08-03,"clmb",15,"Border",4,"Midges",2018
"B3K",2018-08-03,"clmb",13,"Border",3,"KNO3",2018
"B3C",2018-08-03,"clmb",68,"Border",3,"Control",2018
"H2K",2018-08-03,"clmb",26,"Heath",2,"KNO3",2018
"H1C",2018-08-03,"clmb",95,"Heath",1,"Control",2018
"BIK",2018-08-03,"clmb",NA,NA,NA,NA,2018
"B4C",2018-08-03,"clmb",48,"Border",4,"Control",2018
"B4K",2018-08-03,"clmb",46,"Border",4,"KNO3",2018
"H4C",2018-08-03,"clmb",40,"Heath",4,"Control",2018
"L1",2018-08-03,"clmb",19,"Lupine",NA,"Lupine",2018
"H3C",2018-08-03,"clmb",42,"Heath",3,"Control",2018
"H3K",2018-08-03,"clmb",28,"Heath",3,"KNO3",2018
"B2C",2018-08-03,"clmb",22,"Border",2,"Control",2018
"B1K",2018-08-03,"clmb",49,"Border",1,"KNO3",2018
"B3M",2018-08-03,"clmb",46,"Border",3,"Midges",2018
"L4",2018-08-03,"clmb",14,"Lupine",NA,"Lupine",2018
"B1C",2018-08-03,"clmb",38,"Border",1,"Control",2018
"B2K",2018-08-03,"clmb",28,"Border",2,"KNO3",2018
"B2M",2018-08-03,"clmb",44,"Border",2,"Midges",2018
"L3",2018-08-03,"clmb",18,"Lupine",NA,"Lupine",2018
"H4M",2018-08-03,"clmb",44,"Heath",4,"Midges",2018
"H3M",2018-08-03,"clmb",116,"Heath",3,"Midges",2018
"H4K",2018-08-03,"clmb",234,"Heath",4,"KNO3",2018
"H2C",2018-08-03,"clmb",18,"Heath",2,"Control",2018
"H2M",2018-08-03,"clmb",112,"Heath",2,"Midges",2018
"H1M",2018-08-03,"clmb",92,"Heath",1,"Midges",2018
"L2",2018-08-03,"clmb",34,"Lupine",NA,"Lupine",2018
"H3C",2018-07-09,"acar",11,"Heath",3,"Control",2018
"B2K",2018-07-09,"acar",9,"Border",2,"KNO3",2018
"H4M",2018-07-09,"acar",15,"Heath",4,"Midges",2018
"H4C",2018-07-09,"acar",7,"Heath",4,"Control",2018
"H2C",2018-07-09,"acar",3,"Heath",2,"Control",2018
"L4",2018-07-09,"acar",5,"Lupine",NA,"Lupine",2018
"B3C",2018-07-09,"acar",7,"Border",3,"Control",2018
"L1",2018-07-09,"acar",11,"Lupine",NA,"Lupine",2018
"B4M",2018-07-09,"acar",6,"Border",4,"Midges",2018
"L2",2018-07-09,"acar",7,"Lupine",NA,"Lupine",2018
"B2CA",2018-07-09,"acar",0,NA,NA,NA,2018
"B2CB",2018-07-09,"acar",9,NA,NA,NA,2018
"H2M",2018-07-09,"acar",20,"Heath",2,"Midges",2018
"B1MA",2018-07-09,"acar",33,NA,NA,NA,2018
"B1MB",2018-07-09,"acar",20,NA,NA,NA,2018
"B4K",2018-07-09,"acar",22,"Border",4,"KNO3",2018
"B2M",2018-07-09,"acar",17,"Border",2,"Midges",2018
"H2K",2018-07-09,"acar",12,"Heath",2,"KNO3",2018
"B3M",2018-07-09,"acar",11,"Border",3,"Midges",2018
"H1K",2018-07-09,"acar",24,"Heath",1,"KNO3",2018
"H1C",2018-07-09,"acar",12,"Heath",1,"Control",2018
"H3K",2018-07-09,"acar",0,"Heath",3,"KNO3",2018
"L3",2018-07-09,"acar",3,"Lupine",NA,"Lupine",2018
"H4K",2018-07-09,"acar",5,"Heath",4,"KNO3",2018
"H1M",2018-07-09,"acar",4,"Heath",1,"Midges",2018
"B1K",2018-07-09,"acar",27,"Border",1,"KNO3",2018
"B1C",2018-07-09,"acar",32,"Border",1,"Control",2018
"B3K",2018-07-09,"acar",NA,"Border",3,"KNO3",2018
"H3M",2018-07-09,"acar",37,"Heath",3,"Midges",2018
"B1M",2018-08-03,"acar",32,"Border",1,"Midges",2018
"B4M",2018-08-03,"acar",4,"Border",4,"Midges",2018
"B3K",2018-08-03,"acar",15,"Border",3,"KNO3",2018
"B3C",2018-08-03,"acar",23,"Border",3,"Control",2018
"H2K",2018-08-03,"acar",20,"Heath",2,"KNO3",2018
"H1C",2018-08-03,"acar",7,"Heath",1,"Control",2018
"BIK",2018-08-03,"acar",NA,NA,NA,NA,2018
"B4C",2018-08-03,"acar",23,"Border",4,"Control",2018
"B4K",2018-08-03,"acar",17,"Border",4,"KNO3",2018
"H4C",2018-08-03,"acar",4,"Heath",4,"Control",2018
"L1",2018-08-03,"acar",6,"Lupine",NA,"Lupine",2018
"H3C",2018-08-03,"acar",22,"Heath",3,"Control",2018
"H3K",2018-08-03,"acar",11,"Heath",3,"KNO3",2018
"B2C",2018-08-03,"acar",8,"Border",2,"Control",2018
"B1K",2018-08-03,"acar",9,"Border",1,"KNO3",2018
"B3M",2018-08-03,"acar",28,"Border",3,"Midges",2018
"L4",2018-08-03,"acar",16,"Lupine",NA,"Lupine",2018
"B1C",2018-08-03,"acar",5,"Border",1,"Control",2018
"B2K",2018-08-03,"acar",8,"Border",2,"KNO3",2018
"B2M",2018-08-03,"acar",14,"Border",2,"Midges",2018
"L3",2018-08-03,"acar",5,"Lupine",NA,"Lupine",2018
"H4M",2018-08-03,"acar",28,"Heath",4,"Midges",2018
"H3M",2018-08-03,"acar",10,"Heath",3,"Midges",2018
"H4K",2018-08-03,"acar",21,"Heath",4,"KNO3",2018
"H2C",2018-08-03,"acar",11,"Heath",2,"Control",2018
"H2M",2018-08-03,"acar",85,"Heath",2,"Midges",2018
"H1M",2018-08-03,"acar",24,"Heath",1,"Midges",2018
"L2",2018-08-03,"acar",16,"Lupine",NA,"Lupine",2018
